,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_num_leaves,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.23342061042785645,0.051870898859087654,0.031383514404296875,0.005225863388744963,0.1,3,10,"{'learning_rate': 0.1, 'max_depth': 3, 'num_leaves': 10}",0.20097176836501696,0.24542269493954483,0.26629675862138735,0.30682454197956854,0.32866948916452376,0.2696370506140083,0.045122393271950986,25
1,0.2246976375579834,0.054754470103994375,0.03328824043273926,0.006378657696461914,0.1,3,40,"{'learning_rate': 0.1, 'max_depth': 3, 'num_leaves': 40}",0.20097176836501696,0.24542269493954483,0.26629675862138735,0.30682454197956854,0.32866948916452376,0.2696370506140083,0.045122393271950986,25
2,0.2136681079864502,0.043469056974361625,0.03128366470336914,0.00513795004612618,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'num_leaves': 100}",0.20097176836501696,0.24542269493954483,0.26629675862138735,0.30682454197956854,0.32866948916452376,0.2696370506140083,0.045122393271950986,25
3,0.2351252555847168,0.046942373110526285,0.03368997573852539,0.005944119054056098,0.1,3,150,"{'learning_rate': 0.1, 'max_depth': 3, 'num_leaves': 150}",0.20097176836501696,0.24542269493954483,0.26629675862138735,0.30682454197956854,0.32866948916452376,0.2696370506140083,0.045122393271950986,25
4,0.8086511135101319,0.3615531331321063,0.06958527565002441,0.026471732760162178,0.1,5,10,"{'learning_rate': 0.1, 'max_depth': 5, 'num_leaves': 10}",0.4093823782556591,0.2969649815828713,0.3182433524492967,0.4000135204857528,0.4120728964696039,0.36733542584863677,0.04939489133544075,15
5,0.8155694961547851,0.4071231267804682,0.07580122947692872,0.029169512069619593,0.1,5,40,"{'learning_rate': 0.1, 'max_depth': 5, 'num_leaves': 40}",0.2721735022727826,0.3428767338841612,0.33936880104598655,0.4320170862549433,0.36022146977453406,0.3493315186464815,0.051087715950791854,18
6,0.7794734477996826,0.3792721083215116,0.07449831962585449,0.030719205837862213,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'num_leaves': 100}",0.2721735022727826,0.3428767338841612,0.33936880104598655,0.4320170862549433,0.36022146977453406,0.3493315186464815,0.051087715950791854,18
7,0.7839850425720215,0.3750732590880066,0.0783090591430664,0.03292276352949034,0.1,5,150,"{'learning_rate': 0.1, 'max_depth': 5, 'num_leaves': 150}",0.2721735022727826,0.3428767338841612,0.33936880104598655,0.4320170862549433,0.36022146977453406,0.3493315186464815,0.051087715950791854,18
8,0.5537726402282714,0.19266405402110964,0.05905771255493164,0.016829422234525646,0.1,8,10,"{'learning_rate': 0.1, 'max_depth': 8, 'num_leaves': 10}",0.37526975919096267,0.3175335903708424,0.31710487968422163,0.44603811882196864,0.41447557308613303,0.3740843842308257,0.05148757014488965,14
9,1.8153289318084718,0.6375523126061834,0.13505964279174804,0.02767775953543152,0.1,8,40,"{'learning_rate': 0.1, 'max_depth': 8, 'num_leaves': 40}",0.44888067467967296,0.3657448023173723,0.3256887290401085,0.48481079530928106,0.40624251554819135,0.4062735033789252,0.05678020728251279,2
10,1.9413643836975099,0.9691725789210619,0.13385605812072754,0.06159748532838002,0.1,8,100,"{'learning_rate': 0.1, 'max_depth': 8, 'num_leaves': 100}",0.3321859270388,0.3768269041522069,0.3366515384858866,0.4772507078069864,0.39373722905617825,0.3833304613080116,0.052471506543113,11
11,2.7666595935821534,0.7941675694739173,0.1800790786743164,0.04811296013071158,0.1,8,150,"{'learning_rate': 0.1, 'max_depth': 8, 'num_leaves': 150}",0.4162907083550868,0.37360756161351527,0.3495661488768371,0.4833977501343121,0.39470281876010715,0.4035129975479717,0.0456663123527648,3
12,0.5135668754577637,0.36699980153871503,0.0575526237487793,0.03326249171730988,0.1,10,10,"{'learning_rate': 0.1, 'max_depth': 10, 'num_leaves': 10}",0.4573050939605191,0.3175335903708424,0.2829465189340047,0.46629120973951377,0.36893619131324473,0.37860252086362495,0.07328891331233227,13
13,1.7536645412445069,0.5208002759980419,0.11671104431152343,0.0353364499759752,0.1,10,40,"{'learning_rate': 0.1, 'max_depth': 10, 'num_leaves': 40}",0.4539919627050345,0.3957286288684454,0.3910091473818766,0.5243705541725885,0.4416713754961369,0.44135433372481636,0.04830703006955719,1
14,2.5227110385894775,1.2154500287579093,0.14959774017333985,0.05906197974868104,0.1,10,100,"{'learning_rate': 0.1, 'max_depth': 10, 'num_leaves': 100}",0.42178941198102404,0.363979351361319,0.2989589975385609,0.48367927128134525,0.4027305879940982,0.39422752403126954,0.06135897479613765,5
15,3.8751082897186278,1.324443965130968,0.21978392601013183,0.060476746791332164,0.1,10,150,"{'learning_rate': 0.1, 'max_depth': 10, 'num_leaves': 150}",0.4095961908187888,0.35951019904655024,0.3237531971606632,0.46332379862264966,0.3908739484487844,0.3894114668194873,0.04706949950242625,6
16,0.46794443130493163,0.1301598355697645,0.05895705223083496,0.015638421954186636,0.05,3,10,"{'learning_rate': 0.05, 'max_depth': 3, 'num_leaves': 10}",0.20262282504659113,0.2528777981045961,0.2725275073981389,0.2945344743759325,0.3237361422339061,0.26925974943183295,0.04080689980055924,29
17,0.45300469398498533,0.08667694244623923,0.05504665374755859,0.009391655496164915,0.05,3,40,"{'learning_rate': 0.05, 'max_depth': 3, 'num_leaves': 40}",0.20262282504659113,0.2528777981045961,0.2725275073981389,0.2945344743759325,0.3237361422339061,0.26925974943183295,0.04080689980055924,29
