Date,Name,Type
20/10/2017,Govardhan Puja,Restricted Holiday
21/10/2017,Bhai Duj,Restricted Holiday
26/10/2017,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
31/10/2017,Halloween,Observance
04/11/2017,Guru Nanak Jayanti,Gazetted Holiday
24/11/2017,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
02/12/2017,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
13/12/2017,First Day of Hanukkah,Observance
20/12/2017,Last day of Hanukkah,Observance
21/12/2017,December Solstice,Season
24/12/2017,Christmas Eve,Restricted Holiday
25/12/2017,Christmas,Gazetted Holiday
25/12/2017,Guru Govind Singh Jayanti,Observance
31/12/2017,New Year's Eve,Observance
